numero;PrimeiroNome;UltimoNome;Curso;notas*avg
475;Nessie;Raseda;LCC;(15,2)
543;Cissiee;Corabella;LCC;(3,18,17,9)
335;Amelia;Beniamino;MIEI;(0,1,1,13,4)
987;Felice;Letsou;LCC;(19,10,10)
764;Elise;Fontana;MIEI;(4,1)
676;Beth;Dawkins;MIEI;(1,13,3,17)
312;Viviene;Sacken;LCC;(14,17,8)
560;Ottilie;Wallis;LCC;(10,7,15,7,7)
493;Marita;Izaak;MIEI;(1,18,17,12)
324;Larine;Olin;LCC;(9,4,4,5,0)
865;Lynde;Screens;LCC;(1,2,1,0,3,2)
380;Clary;Johnsson;LCC;(2)
424;Tilly;Capello;LCC;(2,12,1,6)
856;Mahalia;Rad;LCC;(4,13,3,8)
174;Alexine;Olympium;MIEI;(0,8,8,16)
855;Hope;Mozelle;MIEFIS;(6)
279;Sarette;Riva;MIEFIS;(9)
348;Dennie;Skurnik;LCC;(9)
596;Blake;Aprile;MIEI;(4,4,5,11,4,2)
972;Jessamyn;Durante;LCC;(15,13,3,11,12)
218;Janey;Margarete;MIEFIS;(9,15,13,10,2)
954;Yolane;Sheedy;MIEFIS;(9,1,2,18,2)
867;Perry;McCutcheon;LCC;(8)
715;Shirlee;Hortensia;MIEI;(3,4,0,7,14,4)
874;Phylis;Pandolfi;LCC;(1,12,10,15)
531;Lenna;Lucienne;MIEI;(19,19)
666;Nadine;Mendez;MIEFIS;(19,5,7,18,14)
260;Agathe;Weaks;MIEI;(8,15)
642;Kore;Westphal;MIEFIS;(15,7,4,3)
353;Carly;Simmonds;LCC;(0,8,1,10,15,3)
541;Fina;Gaynor;MIEFIS;(7,11,7)
763;Leontine;Laurianne;LCC;(17,15,11,6,17)
691;Nicoli;Japeth;MIEI;(13,17,19)
286;Emelina;Olin;MIEFIS;(1,12,7)
276;Charissa;Kress;LCC;(12,3,14,18,10,14)
701;Daryl;Friede;LCC;(5,17,8)
577;Chere;Blase;LCC;(6)
584;Blinni;Lamoree;MIEFIS;(16,9,19,16,14,15)
390;Zia;Germann;MIEFIS;(2,13,11,16,8)
360;Vere;Daegal;MIEI;(15,3,10,12)
768;Sissy;Klemperer;MIEI;(13)
608;Adelle;Bebe;MIEFIS;(15,0,10)
