numero;primeiroNome;ultimoNome;email;curso;notas*min
612;Hollie;Milde;Hollie.Milde@gmail.com;LCC;(14,16,15,16,10,13)
503;Brynna;Hepsibah;Brynna.Hepsibah@gmail.com;LCC;(19,10,4,15,17)
272;Adore;Dichy;Adore.Dichy@gmail.com;LCC;(9,16)
251;Britte;Johnsson;Britte.Johnsson@gmail.com;LCC;(7,16)
385;Jeanna;Christine;Jeanna.Christine@gmail.com;MIEI;(19,4,14,6,3,1)
798;Iseabal;Celestine;Iseabal.Celestine@gmail.com;MIEI;(18,8)
886;Dari;Cottle;Dari.Cottle@gmail.com;LCC;(17,19)
453;Natka;Adore;Natka.Adore@gmail.com;MIEI;(14)
587;Marnia;Susannah;Marnia.Susannah@gmail.com;LCC;(14,17,10,11,9)
144;Marsiella;Pearse;Marsiella.Pearse@gmail.com;LCC;(15,0,0,1,8,10)
259;Ebonee;Wyn;Ebonee.Wyn@gmail.com;MIEFIS;(18,8,2)
832;Ricky;Halla;Ricky.Halla@gmail.com;MIEFIS;(12)
752;Lorenza;Darian;Lorenza.Darian@gmail.com;MIEFIS;(19)
970;Gilligan;Faria;Gilligan.Faria@gmail.com;MIEI;(10,10,16)
890;Krystle;Odell;Krystle.Odell@gmail.com;MIEFIS;(13,18,11,10)
800;Farrah;Greenwald;Farrah.Greenwald@gmail.com;MIEFIS;(13,17,14,3,6)
319;Constance;Clarissa;Constance.Clarissa@gmail.com;MIEI;(13,18,14)
809;Alyda;Prober;Alyda.Prober@gmail.com;LCC;(0,6,1,4,5,15)
117;Jessy;Brittani;Jessy.Brittani@gmail.com;MIEI;(16,2,19)
412;Corina;Noman;Corina.Noman@gmail.com;MIEFIS;(19,3,9,10)
838;Genovera;Clywd;Genovera.Clywd@gmail.com;MIEI;(5,6)
442;Wanda;Dituri;Wanda.Dituri@gmail.com;MIEFIS;(11)
219;Beth;Mullane;Beth.Mullane@gmail.com;MIEI;(5,14)
944;Dulce;Juliet;Dulce.Juliet@gmail.com;LCC;(10)
368;Christal;Kesley;Christal.Kesley@gmail.com;LCC;(1,13,16,2,0)
909;Carol-Jean;Karl;Carol-Jean.Karl@gmail.com;MIEFIS;(15,1,10,10,15,13)
628;Angela;Raama;Angela.Raama@gmail.com;MIEFIS;(4,2,2,13)
501;Suzette;Ciro;Suzette.Ciro@gmail.com;MIEFIS;(2,5,15,14,16)
615;Elsie;Lemuela;Elsie.Lemuela@gmail.com;MIEI;(3,0,2,13,10,9)
385;Phylis;Charmine;Phylis.Charmine@gmail.com;MIEFIS;(6,17,5,3,13)
913;Dotty;Publia;Dotty.Publia@gmail.com;LCC;(6,0,11,18,11)
818;Esmeralda;Maisey;Esmeralda.Maisey@gmail.com;MIEI;(17,12,5,1)
284;Kelly;Karl;Kelly.Karl@gmail.com;LCC;(19,13,2,0)
231;Marita;Halsey;Marita.Halsey@gmail.com;MIEI;(3)
433;Arlena;Slifka;Arlena.Slifka@gmail.com;MIEFIS;(17)
468;Dennie;Armanda;Dennie.Armanda@gmail.com;LCC;(1,14)
294;Rebeca;Klotz;Rebeca.Klotz@gmail.com;MIEFIS;(16,17,4,18,10)
860;Raquela;Gino;Raquela.Gino@gmail.com;MIEI;(14,19,8)
776;Stacey;Leary;Stacey.Leary@gmail.com;LCC;(19,7,7)
353;Dulce;Carbo;Dulce.Carbo@gmail.com;MIEFIS;(15,16,5)
732;Carly;Auberbach;Carly.Auberbach@gmail.com;MIEFIS;(13,5)
187;Frances;Goode;Frances.Goode@gmail.com;LCC;(7,3,11)
534;Barbara;Thilda;Barbara.Thilda@gmail.com;MIEFIS;(15,16,9,8,13,13)
851;Ann-Marie;Wittie;Ann-Marie.Wittie@gmail.com;MIEI;(10)
427;Raina;Lindemann;Raina.Lindemann@gmail.com;MIEFIS;(11,15,14,4)
1000;Suzette;Ramona;Suzette.Ramona@gmail.com;MIEI;(12,2,11,1)
761;Debee;Greenwald;Debee.Greenwald@gmail.com;LCC;(0,5,13,5)
727;Cathyleen;Kauppi;Cathyleen.Kauppi@gmail.com;MIEI;(3,16,14,8,16)
292;Lucille;Winnick;Lucille.Winnick@gmail.com;LCC;(7,16,12)
834;Ekaterina;Center;Ekaterina.Center@gmail.com;MIEI;(9,13,14,18,14)
983;Paule;Horan;Paule.Horan@gmail.com;MIEFIS;(13,8,7)
435;Ronna;Deny;Ronna.Deny@gmail.com;LCC;(10,18)
659;Berget;Rheingold;Berget.Rheingold@gmail.com;MIEFIS;(5)
838;Emma;Edvard;Emma.Edvard@gmail.com;LCC;(6,10,8,18,9,9)
865;Nataline;Hunfredo;Nataline.Hunfredo@gmail.com;LCC;(2,1,8,5,8)
121;Roxane;Phyllis;Roxane.Phyllis@gmail.com;MIEI;(8,5)
121;Hyacinthe;Lymann;Hyacinthe.Lymann@gmail.com;LCC;(10,19,12,2,3,5)
627;Ottilie;Moseley;Ottilie.Moseley@gmail.com;MIEI;(16,14,14)
422;Tiffie;Ackerley;Tiffie.Ackerley@gmail.com;LCC;(11)
447;Jerry;Mike;Jerry.Mike@gmail.com;LCC;(15,14,18,7)
163;Janenna;Firmin;Janenna.Firmin@gmail.com;MIEFIS;(11,12,2,14,3,8)
747;Shauna;Daniele;Shauna.Daniele@gmail.com;MIEFIS;(16,18,6)
506;Cordi;Oster;Cordi.Oster@gmail.com;LCC;(0,18,10,15)
904;Kirstin;Noelyn;Kirstin.Noelyn@gmail.com;LCC;(9,18,0,19)
591;Juliane;Yoko;Juliane.Yoko@gmail.com;MIEFIS;(19,6,11,10,8,9)
251;Celene;Tannie;Celene.Tannie@gmail.com;MIEI;(19,7,13,9)
937;Gloria;Gombach;Gloria.Gombach@gmail.com;MIEI;(18,19,4)
872;Gilligan;Smitt;Gilligan.Smitt@gmail.com;MIEFIS;(4,13,10)
182;Latisha;Charmine;Latisha.Charmine@gmail.com;MIEFIS;(17,8)
204;Mellicent;Jethro;Mellicent.Jethro@gmail.com;MIEI;(0,17,4,17,8,4)
172;Cyb;Gaulin;Cyb.Gaulin@gmail.com;MIEI;(9,9,7,4,3)
397;Lizzie;Jobi;Lizzie.Jobi@gmail.com;LCC;(12)
950;Dawn;Burnside;Dawn.Burnside@gmail.com;LCC;(1)
992;Maye;Fleeta;Maye.Fleeta@gmail.com;MIEFIS;(6,5,13)
954;Lila;Chick;Lila.Chick@gmail.com;MIEFIS;(19)
681;Micheline;Nedrud;Micheline.Nedrud@gmail.com;MIEI;(6,18)
825;Trudie;Etom;Trudie.Etom@gmail.com;LCC;(18,2)
977;Deirdre;Hertzfeld;Deirdre.Hertzfeld@gmail.com;MIEFIS;(13,1,18)
420;Marleah;Cullin;Marleah.Cullin@gmail.com;MIEFIS;(16,1,3,3,17)
499;Estell;Iphlgenia;Estell.Iphlgenia@gmail.com;MIEFIS;(16,11,18,11)
285;Gale;Briney;Gale.Briney@gmail.com;MIEI;(14,6,13,6)
659;Elora;Ciapas;Elora.Ciapas@gmail.com;MIEFIS;(2,1,8)
405;Tori;Bury;Tori.Bury@gmail.com;MIEI;(8,10,0,8)
476;Britni;Pernick;Britni.Pernick@gmail.com;MIEI;(8,3)
800;Nicoli;Giff;Nicoli.Giff@gmail.com;LCC;(3,4,4,18,9)
667;Harrietta;Johanna;Harrietta.Johanna@gmail.com;MIEFIS;(3,7,2,3)
276;Sybille;Thema;Sybille.Thema@gmail.com;MIEFIS;(7,6,0,11)
207;Aurore;Annabella;Aurore.Annabella@gmail.com;LCC;(16,0,8,7,4)
946;Berta;Anselmi;Berta.Anselmi@gmail.com;MIEI;(15)
552;Orelia;Velick;Orelia.Velick@gmail.com;MIEFIS;(14,16)
478;Camile;Horan;Camile.Horan@gmail.com;MIEI;(10)
236;Arlina;Allys;Arlina.Allys@gmail.com;MIEFIS;(13,12,1,15,7,7)
680;Wynne;Autrey;Wynne.Autrey@gmail.com;MIEI;(16,8)
894;Oona;Loeb;Oona.Loeb@gmail.com;MIEFIS;(18,0,10,7,8,4)
134;Farrah;Levey;Farrah.Levey@gmail.com;MIEI;(16,18,10,4,19,9)
140;Tersina;Bluh;Tersina.Bluh@gmail.com;MIEFIS;(19,18)
360;Daphne;Huggins;Daphne.Huggins@gmail.com;MIEFIS;(10)
114;Kore;Hull;Kore.Hull@gmail.com;LCC;(12,13,10)
