numero;primeiroNome;ultimoNome;email;curso;notas*max
811;Yetty;Poll;Yetty.Poll@gmail.com;MIEI;(19)
286;Jennica;Daniele;Jennica.Daniele@gmail.com;MIEI;(5)
875;Anthia;Hilbert;Anthia.Hilbert@gmail.com;MIEFIS;(7,19,5,8,11,11)
433;Merrie;Ralfston;Merrie.Ralfston@gmail.com;MIEFIS;(4,2,16,8)
424;Nannie;Hutchison;Nannie.Hutchison@gmail.com;MIEFIS;(14)
757;Cherilyn;Isacco;Cherilyn.Isacco@gmail.com;MIEI;(9,2,17,3)
337;Ivett;Kunin;Ivett.Kunin@gmail.com;MIEFIS;(11,19,4,10,9,15)
578;Trudie;Lattie;Trudie.Lattie@gmail.com;MIEI;(16,13)
801;Max;Sacken;Max.Sacken@gmail.com;LCC;(17,12,7,0,13)
729;Joelly;Johnsson;Joelly.Johnsson@gmail.com;LCC;(1,6,15,7,13,10)
256;Amii;Jarib;Amii.Jarib@gmail.com;LCC;(16,1,4,9)
628;Ana;Lesley;Ana.Lesley@gmail.com;MIEI;(16,0)
174;Averyl;Adrienne;Averyl.Adrienne@gmail.com;LCC;(4,1,5,4,18)
898;Kristina;Carvey;Kristina.Carvey@gmail.com;LCC;(13,19)
157;Janis;Edmund;Janis.Edmund@gmail.com;MIEI;(17,3,12,2)
809;Tami;Sherfield;Tami.Sherfield@gmail.com;MIEFIS;(6,16,15,17)
445;Marleah;Isidore;Marleah.Isidore@gmail.com;MIEFIS;(5,6,13,3)
688;Perry;Roumell;Perry.Roumell@gmail.com;MIEI;(1,1,2,16,10,7)
137;Annaliese;Bow;Annaliese.Bow@gmail.com;LCC;(4,0,17)
193;Stacey;Edison;Stacey.Edison@gmail.com;MIEFIS;(5,9)
544;Teriann;Bartlett;Teriann.Bartlett@gmail.com;MIEFIS;(17,14,5,13,18)
352;Dianemarie;Syd;Dianemarie.Syd@gmail.com;MIEFIS;(13,12)
682;Verla;Dearborn;Verla.Dearborn@gmail.com;MIEI;(1,9,17,3)
876;Kristina;Niles;Kristina.Niles@gmail.com;LCC;(9)
463;Jacquetta;Center;Jacquetta.Center@gmail.com;MIEFIS;(4)
775;Katharina;Hortensia;Katharina.Hortensia@gmail.com;MIEI;(1,8)
170;Nicoli;Kermit;Nicoli.Kermit@gmail.com;MIEI;(0,15)
581;Tami;Bates;Tami.Bates@gmail.com;MIEFIS;(14,6,3)
674;Laurene;Charity;Laurene.Charity@gmail.com;MIEI;(16,15)
488;Bettine;Alice;Bettine.Alice@gmail.com;LCC;(17,19,13,5,5,5)
957;Janenna;Gavrila;Janenna.Gavrila@gmail.com;MIEI;(15,11,11,18,2)
748;Hollie;Medrek;Hollie.Medrek@gmail.com;MIEI;(4,3,10,15)
687;Hannis;Shelba;Hannis.Shelba@gmail.com;MIEI;(13)
579;Chrystel;Eckblad;Chrystel.Eckblad@gmail.com;LCC;(0,3,2,1,16)
970;Talya;Charity;Talya.Charity@gmail.com;MIEI;(18,13,9,3,7,4)
868;Heida;Merell;Heida.Merell@gmail.com;MIEI;(10,4,6,18,9,14)
989;Gilda;Soneson;Gilda.Soneson@gmail.com;MIEFIS;(12)
663;Valli;Wesle;Valli.Wesle@gmail.com;LCC;(4,14,2,15)
958;Dorothy;Lane;Dorothy.Lane@gmail.com;MIEI;(15,9,3)
866;Tani;Christine;Tani.Christine@gmail.com;MIEFIS;(6)
835;Grier;Lalitta;Grier.Lalitta@gmail.com;MIEI;(16,17,17,12,12,2)
632;Kelly;Hazlett;Kelly.Hazlett@gmail.com;MIEI;(6)
107;Elfreda;Newell;Elfreda.Newell@gmail.com;LCC;(13,5)
280;Lynnea;Maribeth;Lynnea.Maribeth@gmail.com;MIEI;(14,14,13,14)
481;Hildegaard;Horan;Hildegaard.Horan@gmail.com;MIEFIS;(11,6,9,14)
206;Brianna;Fax;Brianna.Fax@gmail.com;MIEFIS;(4,7,14,6)
681;Dyann;Devlen;Dyann.Devlen@gmail.com;MIEFIS;(9,16)
300;Louella;Zenas;Louella.Zenas@gmail.com;MIEI;(15,5,15)
335;Penelopa;Felecia;Penelopa.Felecia@gmail.com;MIEFIS;(0)
359;Adriana;Koziara;Adriana.Koziara@gmail.com;LCC;(2,16,4,7,6)
336;Rori;Fabiola;Rori.Fabiola@gmail.com;MIEFIS;(4,18,12,17,0)
602;Kaia;Henebry;Kaia.Henebry@gmail.com;MIEI;(5,17,4,17,19,10)
271;Brana;Sophronia;Brana.Sophronia@gmail.com;LCC;(2)
239;Sabina;Sherrie;Sabina.Sherrie@gmail.com;MIEFIS;(10,9,8)
281;Collen;Cynar;Collen.Cynar@gmail.com;MIEFIS;(0,8,3,3,14)
755;Caryl;Emanuel;Caryl.Emanuel@gmail.com;MIEI;(11,16,18,6,5)
132;Jobi;Fry;Jobi.Fry@gmail.com;MIEI;(14,9)
209;Joane;Latini;Joane.Latini@gmail.com;MIEI;(7,4,8)
950;Chloris;Socha;Chloris.Socha@gmail.com;MIEFIS;(19,5,14,13,2,14)
845;Ayn;Manolo;Ayn.Manolo@gmail.com;MIEI;(5,7,8,18,8)
546;Alisha;Ochs;Alisha.Ochs@gmail.com;MIEI;(13,10,13,10)
660;Emylee;Fabiola;Emylee.Fabiola@gmail.com;MIEFIS;(6,15,10,5,8,17)
961;Angelique;Dermott;Angelique.Dermott@gmail.com;MIEI;(0)
734;Dorice;Genna;Dorice.Genna@gmail.com;LCC;(17,5,12,9,15,12)
714;Steffane;McLaughlin;Steffane.McLaughlin@gmail.com;MIEFIS;(4,1,14,15)
647;Dianemarie;Bord;Dianemarie.Bord@gmail.com;MIEFIS;(1,15,11,0)
286;Sadie;Papageno;Sadie.Papageno@gmail.com;MIEI;(8,5,12,7)
375;Arabel;Gerge;Arabel.Gerge@gmail.com;MIEFIS;(19,2,15)
724;Gretal;Stacy;Gretal.Stacy@gmail.com;MIEFIS;(13,5,15)
540;Carol-Jean;Fadiman;Carol-Jean.Fadiman@gmail.com;MIEFIS;(10,9,9,1)
507;Annice;Ardra;Annice.Ardra@gmail.com;MIEI;(5,9,14,9,1,19)
641;Tera;Catie;Tera.Catie@gmail.com;LCC;(0)
853;Elka;Kirstin;Elka.Kirstin@gmail.com;MIEI;(5,3,16,15)
953;Caryl;Herrera;Caryl.Herrera@gmail.com;MIEI;(2,3,1,6)
828;Kristan;Gordon;Kristan.Gordon@gmail.com;MIEFIS;(4,13)
951;Calla;Sharl;Calla.Sharl@gmail.com;MIEFIS;(8,0,12,8)
889;Ariela;Wittie;Ariela.Wittie@gmail.com;MIEFIS;(13,1,15,9,5,2)
215;Winifred;Gale;Winifred.Gale@gmail.com;MIEI;(6,13,8,15,1,10)
316;Jany;Nunci;Jany.Nunci@gmail.com;MIEFIS;(10,18,1,16,4)
259;Annecorinne;Koehler;Annecorinne.Koehler@gmail.com;LCC;(8,17,18,2,19,19)
870;Laure;Saunderson;Laure.Saunderson@gmail.com;MIEI;(17,2)
255;Bernardine;Arvo;Bernardine.Arvo@gmail.com;MIEI;(19,19,17,16)
223;Loree;Raychel;Loree.Raychel@gmail.com;LCC;(2,17,7,13)
389;Jolyn;Kaete;Jolyn.Kaete@gmail.com;LCC;(16,13)
480;Gavrielle;Cleavland;Gavrielle.Cleavland@gmail.com;MIEI;(16)
940;Abbie;Jehu;Abbie.Jehu@gmail.com;MIEI;(5,9,16)
716;Lacie;Rosemary;Lacie.Rosemary@gmail.com;MIEI;(14)
410;Loree;Chrystel;Loree.Chrystel@gmail.com;LCC;(18)
469;Jsandye;Karl;Jsandye.Karl@gmail.com;LCC;(7,13)
733;Merry;Tyson;Merry.Tyson@gmail.com;MIEFIS;(6,7,6,10)
866;Maye;Durante;Maye.Durante@gmail.com;MIEFIS;(12,17,14,19,9)
433;Anestassia;Delila;Anestassia.Delila@gmail.com;MIEI;(11,19,6)
241;Fayre;Barney;Fayre.Barney@gmail.com;MIEI;(17,14,1,1)
348;Sallie;Eiser;Sallie.Eiser@gmail.com;MIEFIS;(8)
964;Alleen;Ruvolo;Alleen.Ruvolo@gmail.com;LCC;(1,18,14)
373;Vere;Hillel;Vere.Hillel@gmail.com;MIEI;(14,11)
892;Maryellen;Rozanna;Maryellen.Rozanna@gmail.com;MIEFIS;(18,9)
699;Gui;Pettiford;Gui.Pettiford@gmail.com;MIEI;(11,16,19,4,7)
788;Eugine;Artie;Eugine.Artie@gmail.com;MIEFIS;(13,13,17,4)
838;Feliza;Erminia;Feliza.Erminia@gmail.com;LCC;(3,6,5,12,4,17)
686;Leontine;Ventre;Leontine.Ventre@gmail.com;MIEI;(8,16,10,13,4)
333;Corry;Rad;Corry.Rad@gmail.com;MIEI;(6,12,6,15)
940;Olwen;Kellby;Olwen.Kellby@gmail.com;MIEI;(3,3,11,9,19)
421;Georgetta;Angelis;Georgetta.Angelis@gmail.com;MIEI;(1,8,13,17)
945;Cam;Dielu;Cam.Dielu@gmail.com;LCC;(13,8)
578;Hollie;Dichy;Hollie.Dichy@gmail.com;MIEFIS;(3)
700;Ardenia;Therine;Ardenia.Therine@gmail.com;LCC;(5,0,15,17)
864;Camile;Lytton;Camile.Lytton@gmail.com;LCC;(17,15,3,5)
559;Caritta;Dom;Caritta.Dom@gmail.com;LCC;(6,12,12,11,16)
201;Cissiee;Klotz;Cissiee.Klotz@gmail.com;MIEI;(13,9,1)
787;Jennica;Nerita;Jennica.Nerita@gmail.com;MIEFIS;(9,2,0,1,19)
221;Hayley;Melony;Hayley.Melony@gmail.com;MIEI;(9,6,4,11,17)
108;Jenilee;Euridice;Jenilee.Euridice@gmail.com;LCC;(18,1,8,3)
472;Lusa;Kalinda;Lusa.Kalinda@gmail.com;MIEFIS;(17)
118;Juliane;Mich;Juliane.Mich@gmail.com;LCC;(13,13,14,11,7,9)
189;Kamilah;Maxi;Kamilah.Maxi@gmail.com;LCC;(6,17,12)
998;Merrie;Wooster;Merrie.Wooster@gmail.com;LCC;(13,12,4)
550;Berget;Hazlett;Berget.Hazlett@gmail.com;MIEFIS;(8,2,14)
635;Christal;Gino;Christal.Gino@gmail.com;MIEFIS;(3,1,12)
558;Allyce;Abbot;Allyce.Abbot@gmail.com;LCC;(8,5,18,18)
417;Lynnea;Longfellow;Lynnea.Longfellow@gmail.com;LCC;(12)
797;Lily;Wesle;Lily.Wesle@gmail.com;LCC;(0,10,17)
115;Silvana;Roscoe;Silvana.Roscoe@gmail.com;MIEFIS;(13,17,5,18)
164;Jacquetta;Bryna;Jacquetta.Bryna@gmail.com;MIEFIS;(9)
442;Lucille;Killigrew;Lucille.Killigrew@gmail.com;MIEFIS;(19,17,8,18,5)
550;Marsiella;Burkle;Marsiella.Burkle@gmail.com;MIEFIS;(1)
710;Marguerite;Kazimir;Marguerite.Kazimir@gmail.com;MIEFIS;(2,5,8,2,18)
938;Dania;Hortensia;Dania.Hortensia@gmail.com;MIEI;(17,7,0)
828;Lisette;Waldron;Lisette.Waldron@gmail.com;MIEI;(1,2,8)
387;Chickie;Stefa;Chickie.Stefa@gmail.com;MIEFIS;(1,2,2,16,5)
939;Janis;Anton;Janis.Anton@gmail.com;MIEFIS;(9)
604;Orsola;Valoniah;Orsola.Valoniah@gmail.com;MIEI;(15,0)
473;Moyna;Skurnik;Moyna.Skurnik@gmail.com;LCC;(9,10,13,19)
851;Clarice;Linehan;Clarice.Linehan@gmail.com;MIEFIS;(19,5,15,9,3,11)
765;Lesly;Maples;Lesly.Maples@gmail.com;MIEFIS;(15,6,16,19,15,18)
998;Lauryn;Rocray;Lauryn.Rocray@gmail.com;LCC;(6)
763;Pierette;Blisse;Pierette.Blisse@gmail.com;MIEI;(4,17,3)
819;Lulita;Berriman;Lulita.Berriman@gmail.com;MIEI;(15,10)
553;Korrie;Merna;Korrie.Merna@gmail.com;MIEI;(9,2,7,16,1)
670;Dione;Alice;Dione.Alice@gmail.com;MIEFIS;(3,19,1,10)
184;Emelina;Gilmour;Emelina.Gilmour@gmail.com;LCC;(7,4)
424;Alyssa;Konyn;Alyssa.Konyn@gmail.com;MIEI;(1)
596;Roz;Lemuela;Roz.Lemuela@gmail.com;MIEI;(19,2,15,6,8)
107;Mellicent;Corilla;Mellicent.Corilla@gmail.com;MIEI;(19,11)
221;Selia;Ferrell;Selia.Ferrell@gmail.com;MIEI;(13,11)
300;Sharai;Lumbard;Sharai.Lumbard@gmail.com;LCC;(9,3,8,10,7,11)
814;Ivett;Vacuva;Ivett.Vacuva@gmail.com;LCC;(10,2,9)
485;Lenna;Lane;Lenna.Lane@gmail.com;MIEI;(14,14,10,5,13,0)
200;Raquela;Adalbert;Raquela.Adalbert@gmail.com;MIEI;(13,10,8,7,10)
532;Suzette;Ingra;Suzette.Ingra@gmail.com;LCC;(13,17,2)
818;Zaria;Zamora;Zaria.Zamora@gmail.com;MIEFIS;(14,8,14,8)
505;Willetta;Izaak;Willetta.Izaak@gmail.com;MIEFIS;(5,5,5,8)
280;Caryl;Johnsson;Caryl.Johnsson@gmail.com;MIEFIS;(19,14,3,1,0,13)
258;Carmencita;Calhoun;Carmencita.Calhoun@gmail.com;MIEFIS;(3,9,9)
593;Wileen;Vivle;Wileen.Vivle@gmail.com;LCC;(15,0,2)
351;Myrtice;Shields;Myrtice.Shields@gmail.com;LCC;(16,12,1,8,8,17)
605;Kirbee;Lynn;Kirbee.Lynn@gmail.com;LCC;(9,11,6,15,2,19)
505;Collen;Jess;Collen.Jess@gmail.com;MIEI;(11,8,6,8,11)
992;Yvonne;Ricarda;Yvonne.Ricarda@gmail.com;MIEI;(1,17)
164;Aurore;Boehike;Aurore.Boehike@gmail.com;MIEI;(1,0,1)
758;Karly;Leonard;Karly.Leonard@gmail.com;LCC;(3,9,3,6,10,1)
675;Gloria;Nadia;Gloria.Nadia@gmail.com;MIEI;(16,10,10,14)
163;Nananne;Ephrem;Nananne.Ephrem@gmail.com;MIEFIS;(12,17)
675;Bobbi;Helve;Bobbi.Helve@gmail.com;MIEFIS;(7,17,8)
783;Berget;Nerita;Berget.Nerita@gmail.com;MIEFIS;(5,7,13,5,4)
507;Celene;Annabella;Celene.Annabella@gmail.com;MIEI;(10)
773;Daune;Daniele;Daune.Daniele@gmail.com;MIEFIS;(11,19,14,7)
750;Atlanta;Wadell;Atlanta.Wadell@gmail.com;MIEI;(10)
