numero;primeiroNome;ultimoNome;email;curso;notas*sum
511;Merrie;Deny;Merrie.Deny@gmail.com;LCC;(5)
462;Eolanda;Merell;Eolanda.Merell@gmail.com;LCC;(10)
982;Cherrita;Honoria;Cherrita.Honoria@gmail.com;MIEFIS;(3,2,17)
366;Ottilie;Dominy;Ottilie.Dominy@gmail.com;MIEI;(12)
551;Dorice;Hamil;Dorice.Hamil@gmail.com;MIEFIS;(8,11,18,13,15)
134;Deedee;Anton;Deedee.Anton@gmail.com;LCC;(10,2,15,4,13,18)
139;Madelle;Dash;Madelle.Dash@gmail.com;MIEFIS;(18,11)
616;Livvyy;Bryna;Livvyy.Bryna@gmail.com;LCC;(7)
560;Suzette;Mallon;Suzette.Mallon@gmail.com;MIEI;(13,14,18,11)
675;Dolli;Eiser;Dolli.Eiser@gmail.com;MIEI;(12,19,14,11,9)
840;Ginnie;Demitria;Ginnie.Demitria@gmail.com;LCC;(19,17,2,0)
338;Agathe;Eliathas;Agathe.Eliathas@gmail.com;MIEFIS;(18,10,8,18)
771;Gratia;Narton;Gratia.Narton@gmail.com;LCC;(15,18,4,19,12,3)
127;Clarice;McCutcheon;Clarice.McCutcheon@gmail.com;LCC;(5,8,0,1,10,10)
276;Eadie;Lory;Eadie.Lory@gmail.com;MIEI;(9,19,1,6,14)
598;Annora;Douglass;Annora.Douglass@gmail.com;MIEFIS;(4,3,7,5)
996;Mady;Dex;Mady.Dex@gmail.com;LCC;(10,15,11,6)
868;Edith;Toni;Edith.Toni@gmail.com;LCC;(12,6,12,18,1)
626;Hope;Pyle;Hope.Pyle@gmail.com;MIEFIS;(0,16,14,17,15,8)
208;Ninnetta;Chandler;Ninnetta.Chandler@gmail.com;MIEFIS;(4,5,1,6,13)
111;Dianemarie;Connelly;Dianemarie.Connelly@gmail.com;MIEI;(0,8,3,4,10)
717;Gilda;Pierette;Gilda.Pierette@gmail.com;MIEFIS;(7,8,11,16)
116;Tiffie;Sisile;Tiffie.Sisile@gmail.com;MIEFIS;(13,14,7,18,8)
746;Maud;Buckler;Maud.Buckler@gmail.com;MIEI;(6,15)
347;Ayn;Shama;Ayn.Shama@gmail.com;MIEI;(14,2,18,1,10,16)
579;Britte;Chesna;Britte.Chesna@gmail.com;LCC;(0,18,19,19)
782;Ida;Magdalen;Ida.Magdalen@gmail.com;MIEI;(5,16,7,15,11,1)
820;Meriel;Leifeste;Meriel.Leifeste@gmail.com;MIEI;(11,17,11)
158;Jennica;Ardra;Jennica.Ardra@gmail.com;MIEFIS;(10,9,5,1,16)
282;Dorthy;Gillan;Dorthy.Gillan@gmail.com;LCC;(16,15,9,0,14)
373;Brandise;Alisia;Brandise.Alisia@gmail.com;MIEFIS;(12,19,3,10,18,13)
767;Hettie;Brandice;Hettie.Brandice@gmail.com;MIEI;(12,5,16,10,13)
301;Starla;Mendez;Starla.Mendez@gmail.com;LCC;(12)
390;Lindie;Daegal;Lindie.Daegal@gmail.com;MIEI;(9)
422;Aryn;Fax;Aryn.Fax@gmail.com;MIEI;(15,7,11,14)
670;Camile;Blake;Camile.Blake@gmail.com;MIEI;(13,9,0,13)
106;Shell;Odell;Shell.Odell@gmail.com;LCC;(2,13,11,2)
792;Dianemarie;Stephie;Dianemarie.Stephie@gmail.com;MIEFIS;(5,16)
149;Nollie;Mathilde;Nollie.Mathilde@gmail.com;MIEI;(16,2,9,5,9)
959;Sybille;Wesle;Sybille.Wesle@gmail.com;MIEFIS;(4,19,17,15,16)
940;Ethel;Kauppi;Ethel.Kauppi@gmail.com;MIEI;(10)
221;Georgina;Brady;Georgina.Brady@gmail.com;LCC;(14,14,0,11)
663;Jobi;Donoghue;Jobi.Donoghue@gmail.com;LCC;(13,15,0,19)
618;Goldie;Fry;Goldie.Fry@gmail.com;LCC;(4,12,13)
752;Luci;Peti;Luci.Peti@gmail.com;MIEI;(19,19,6,10,15,0)
533;Bobinette;Orlene;Bobinette.Orlene@gmail.com;LCC;(9,13,4,13)
579;Sibella;Bahr;Sibella.Bahr@gmail.com;LCC;(12,13,8,16)
606;Cassandra;Amand;Cassandra.Amand@gmail.com;MIEI;(1,13,11,15,11)
108;Sharlene;McAdams;Sharlene.McAdams@gmail.com;LCC;(2,15,0,5)
208;Gwenneth;Sallyann;Gwenneth.Sallyann@gmail.com;LCC;(11,12,7)
858;Frank;Leary;Frank.Leary@gmail.com;MIEI;(12,11,10,14,9)
772;Margette;Gladstone;Margette.Gladstone@gmail.com;MIEI;(11,4,19)
205;Donetta;Susannah;Donetta.Susannah@gmail.com;LCC;(2,17,18,6,15)
389;Arlina;Latini;Arlina.Latini@gmail.com;MIEFIS;(4,1,15,4,13,11)
745;Dagmar;Sperling;Dagmar.Sperling@gmail.com;MIEFIS;(10,12,10,11,3,4)
301;Korrie;Ardeha;Korrie.Ardeha@gmail.com;MIEFIS;(6,13)
839;Lila;Modie;Lila.Modie@gmail.com;MIEFIS;(4)
793;Ezmeralda;Goode;Ezmeralda.Goode@gmail.com;MIEFIS;(11)
658;Nerta;Faro;Nerta.Faro@gmail.com;LCC;(18,18,2,17,8)
491;Jenilee;Dosia;Jenilee.Dosia@gmail.com;MIEFIS;(6,2)
717;Susette;Nance;Susette.Nance@gmail.com;LCC;(7,0,8,13)
907;Ardeen;Hunfredo;Ardeen.Hunfredo@gmail.com;MIEFIS;(4,6,2,3,7,2)
588;Jennica;Clarissa;Jennica.Clarissa@gmail.com;MIEI;(8,19,13,14)
778;Dawn;Payson;Dawn.Payson@gmail.com;MIEFIS;(9,12,16,4)
198;Berget;Sheedy;Berget.Sheedy@gmail.com;LCC;(9,1)
441;Flo;Montgomery;Flo.Montgomery@gmail.com;MIEFIS;(17,10,15)
286;Jean;Ortrude;Jean.Ortrude@gmail.com;MIEI;(2,5,0,2)
