numero;notas*avg;primeiroNome*avg;ultimoNome;email;curso
739;(+,+,+,^);Lulita;Vins;Lulita.Vins@yopmail.com;LCC
735;();Theodora;Riordan;Theodora.Riordan@yopmail.com;LCC
908;(16,18,13,11,16,16);Kelly;Stav;Kelly.Stav@yopmail.com;MIEI
564;(15,6,18,14);Evita;Lindemann;Evita.Lindemann@yopmail.com;MIEI
939;(14,4);Tressa;Read;Tressa.Read@yopmail.com;LCC
233;(1,3,5,10,14,13);Vinita;Robertson;Vinita.Robertson@yopmail.com;MIEI
878;(1,18,14,16);Nyssa;Gaal;Nyssa.Gaal@yopmail.com;MIEI
401;(14,15,13,6,3);Jemie;Jagir;Jemie.Jagir@yopmail.com;MIEFIS
737;(5,4,6);Caryl;Ietta;Caryl.Ietta@yopmail.com;LCC
503;(8,10,14,12);Tori;Wu;Tori.Wu@yopmail.com;MIEFIS
441;(16);Jenda;Gabrielli;Jenda.Gabrielli@yopmail.com;MIEFIS
507;(8,17,0);Bill;Delila;Bill.Delila@yopmail.com;LCC
588;(8,18,7);Wynne;Gamaliel;Wynne.Gamaliel@yopmail.com;MIEFIS
857;(3,8);Chloris;Yerkovich;Chloris.Yerkovich@yopmail.com;LCC
641;(11,16);Marita;Noman;Marita.Noman@yopmail.com;MIEFIS
163;(16,13,9,16,2,12);Roberta;Saunderson;Roberta.Saunderson@yopmail.com;MIEFIS
602;(6,7,15,9,18,8);Olwen;Dyche;Olwen.Dyche@yopmail.com;MIEFIS
946;(19,19,10,19,7);Odessa;Rese;Odessa.Rese@yopmail.com;LCC
506;(14);Meghann;Michella;Meghann.Michella@yopmail.com;MIEI
281;(19,19,12,1);Maryellen;Regan;Maryellen.Regan@yopmail.com;MIEI
892;(11,17,18);Almeta;Ferrell;Almeta.Ferrell@yopmail.com;MIEFIS
271;(18,19,4,4);Kirbee;Garbe;Kirbee.Garbe@yopmail.com;LCC
971;(12,18,17,6,5);Jessy;Kolnick;Jessy.Kolnick@yopmail.com;MIEI
978;(6,0);Melina;Malina;Melina.Malina@yopmail.com;MIEI
112;(3,18,1,1,1);Myriam;Chick;Myriam.Chick@yopmail.com;LCC
891;(11,11,5);Ariela;Ax;Ariela.Ax@yopmail.com;MIEI
179;(10,9,11,7);Jackie;Edee;Jackie.Edee@yopmail.com;LCC
750;(6,5);Ardys;Jacobah;Ardys.Jacobah@yopmail.com;LCC
931;(12,18);Jany;Baylor;Jany.Baylor@yopmail.com;LCC
931;(8,11,2,17,18,7);Margalo;Howlyn;Margalo.Howlyn@yopmail.com;LCC
498;(19,2);Noelle;Scammon;Noelle.Scammon@yopmail.com;MIEI
714;(10,2);Ilse;Edison;Ilse.Edison@yopmail.com;MIEI
740;(6,9,9);Eve;Fontana;Eve.Fontana@yopmail.com;LCC
963;(12,11,19,19,9);Sonni;Sinegold;Sonni.Sinegold@yopmail.com;MIEFIS
967;(18,11,16,16);Angela;Melleta;Angela.Melleta@yopmail.com;LCC
157;(12,12,13,10);Taffy;Hewitt;Taffy.Hewitt@yopmail.com;MIEFIS
184;(4,3,18,2);Joane;Brenn;Joane.Brenn@yopmail.com;MIEI
961;(4,16);Adriana;Odell;Adriana.Odell@yopmail.com;LCC
922;(7,3,8,8);Tarra;Koziara;Tarra.Koziara@yopmail.com;MIEFIS
717;(10,10,3,12,9);Trixi;Dex;Trixi.Dex@yopmail.com;LCC
937;(1,16,6,19);Tera;Dex;Tera.Dex@yopmail.com;MIEFIS
760;(18,16,12,5,10);Clary;Natalia;Clary.Natalia@yopmail.com;LCC
745;(9,19,3,16,16);Glynnis;Faria;Glynnis.Faria@yopmail.com;MIEI
708;(2,15,19,18,10);Fina;Chaing;Fina.Chaing@yopmail.com;MIEI
626;(6,11,4,11);Randa;Linskey;Randa.Linskey@yopmail.com;MIEFIS
259;(19,19,3,10,10);Clo;Nahum;Clo.Nahum@yopmail.com;MIEI
956;(10);Suzette;Bonilla;Suzette.Bonilla@yopmail.com;MIEI
949;(11,16,7,8,2,2);Collen;Connelly;Collen.Connelly@yopmail.com;MIEFIS
354;(15,19,9,0,9);Quintina;Hartnett;Quintina.Hartnett@yopmail.com;MIEFIS
281;(18,2,5,14);Violet;Faso;Violet.Faso@yopmail.com;MIEFIS
398;(16,5);Marti;Danby;Marti.Danby@yopmail.com;LCC
489;(0,8,8);Marti;Norvol;Marti.Norvol@yopmail.com;MIEI
641;(14,0,3,17);Jsandye;Damarra;Jsandye.Damarra@yopmail.com;MIEI
942;(1,4,10,14,16,19);Melina;Felizio;Melina.Felizio@yopmail.com;MIEFIS
984;(9,9,6,1,4);Tybie;Anyah;Tybie.Anyah@yopmail.com;MIEI
329;(9);Zondra;Bord;Zondra.Bord@yopmail.com;MIEFIS
421;(17);Candy;Chinua;Candy.Chinua@yopmail.com;MIEFIS
522;(15,14,15);Regina;Artie;Regina.Artie@yopmail.com;MIEFIS
271;(5,16,9,8,1);Carly;Jehu;Carly.Jehu@yopmail.com;LCC
598;(16,1,5);Jenilee;Greyson;Jenilee.Greyson@yopmail.com;LCC
444;(12,13);Joleen;Anis;Joleen.Anis@yopmail.com;MIEI
265;(2);Ann-Marie;Bonilla;Ann-Marie.Bonilla@yopmail.com;MIEFIS
815;(10,0,2,3,12,14);Gabriellia;Aida;Gabriellia.Aida@yopmail.com;LCC
746;(18,8);Mahalia;Xerxes;Mahalia.Xerxes@yopmail.com;MIEI
991;(3,9,2,13);Andree;Schlosser;Andree.Schlosser@yopmail.com;LCC
823;(2,4,9,10,11);Meghann;Strephon;Meghann.Strephon@yopmail.com;MIEI
853;(16,16,13,12,2,18);Jacquetta;Goode;Jacquetta.Goode@yopmail.com;MIEI
322;(0,13,14,16,11,7);Doro;Rubie;Doro.Rubie@yopmail.com;LCC
292;(16,17,14);Binny;Tyson;Binny.Tyson@yopmail.com;MIEFIS
588;(5,2,8,16,17);Nariko;Lemuela;Nariko.Lemuela@yopmail.com;LCC
515;(13,5,2,2,12);Cyndie;Tarrant;Cyndie.Tarrant@yopmail.com;MIEI
174;(16,8);Shaine;Ellord;Shaine.Ellord@yopmail.com;MIEFIS
259;(18,9,9,0);Ruthe;Romelda;Ruthe.Romelda@yopmail.com;MIEFIS
646;(18,19,12,5,16,7);Helena;Faso;Helena.Faso@yopmail.com;MIEFIS
387;(8);Alisha;Pond;Alisha.Pond@yopmail.com;LCC
100;(0,15,11,17,0);Almeta;Angelis;Almeta.Angelis@yopmail.com;MIEFIS
577;(13,19,8);Shaylyn;Ardeha;Shaylyn.Ardeha@yopmail.com;LCC
292;(17,18,4,12,0);Sabina;Ophelia;Sabina.Ophelia@yopmail.com;LCC
698;(2);Darlleen;Gaynor;Darlleen.Gaynor@yopmail.com;MIEFIS
919;(19,8,2,3,13,10);Rori;Rolf;Rori.Rolf@yopmail.com;LCC
546;(2,10,2,3,18,13);Lanna;McNully;Lanna.McNully@yopmail.com;MIEI
632;(5);Jacquetta;Ashok;Jacquetta.Ashok@yopmail.com;MIEI
844;(4,13);Cathyleen;Natalia;Cathyleen.Natalia@yopmail.com;MIEFIS
958;(2,5,9);Lolita;Ralfston;Lolita.Ralfston@yopmail.com;MIEI
894;(13,16,10,1,12);Noelle;Georgy;Noelle.Georgy@yopmail.com;MIEFIS
786;(9);Sidoney;Orpah;Sidoney.Orpah@yopmail.com;MIEI
724;(3,15);Gloria;Lia;Gloria.Lia@yopmail.com;MIEFIS
718;(17,19,16,6,19,14);Emylee;Tengdin;Emylee.Tengdin@yopmail.com;MIEI
796;(0);Katleen;Alwin;Katleen.Alwin@yopmail.com;MIEFIS
797;(2);Elsie;Alisia;Elsie.Alisia@yopmail.com;LCC
